MSE_SOM;PSNR_SOM;FR;expe;MSE_FaultySOM;PSNR_FaultySOM;FR;avg_MSE_faulty;avg_PSNR_faulty;;;;;1;9,261476842;23,28935085;0,061423136;0,011254209;1;9,390270183;23,27523829;0,059229205;0,0115622
8,725527577;23,55443741;1;0;8,916193292;23,42965751;1;9,261476842;23,28935085;0,061423136;0,011254209;;;1;9,391048549;23,27033589;0,05370043;0,010741633;;;;;
8,725527577;23,55443741;1;1;9,245855832;23,33449466;;;;;;;;1;9,404187619;23,25196199;0,055944515;0,011670654;;;;;
8,725527577;23,55443741;1;2;9,283844483;23,35186111;;;;;;;;1;9,408095433;23,22301941;0,063449709;0,012920785;;;;;
8,725527577;23,55443741;1;3;9,320058113;23,18429505;;;;;;;;1;9,220475261;23,34069106;0,05863745;0,010348156;;;;;
8,725527577;23,55443741;1;4;9,356191329;23,18022026;;;;;;;;1;9,441389656;23,25091087;0,058556865;0,011168414;;;;;
8,725527577;23,55443741;1;5;8,992202563;23,34441115;;;;;;;;1;9,405154541;23,22233496;0,059751294;0,010693875;;;;;
8,725527577;23,55443741;1;6;9,039522627;23,38694043;;;;;;;;1;9,465902035;23,26333243;0,065851038;0,012425698;;;;;
8,725527577;23,55443741;1;7;9,294465174;23,28868177;;;;;;;;1;9,300691573;23,29589054;0,057254985;0,011568918;;;;;
8,725527577;23,55443741;1;8;9,322089413;23,31605921;;;;;;;;1;9,339647465;23,2924749;0,057291299;0,011828462;;;;;
8,725527577;23,55443741;1;9;9,309545375;23,31224071;;;;;;;;1;9,488189461;23,31540399;0,070215885;0,013621467;;;;;
8,725527577;23,55443741;1;10;9,026986299;23,40755775;;;;;;;;1;9,361611419;23,36130068;0,060478596;0,011788006;;;;;
8,725527577;23,55443741;1;11;10,44324994;22,7339649;;;;;;;;1;9,393318208;23,25953762;0,054055596;0,010767439;;;;;
8,725527577;23,55443741;1;12;9,131623409;23,26890802;;;;;;;;1;9,353782777;23,29877939;0,053965489;0,011075818;;;;;
8,725527577;23,55443741;1;13;9,393057008;23,31955305;;;;;;;;1;9,312593379;23,24915084;0,053332233;0,010466209;;;;;
8,725527577;23,55443741;1;14;9,033780377;23,39588919;;;;;;;;1;9,436371302;23,22148347;0,064532072;0,012143933;;;;;
8,725527577;23,55443741;1;15;9,162554601;23,34668082;;;;;;;;1;9,332422101;23,32007507;0,051067121;0,010679179;;;;;
8,725527577;23,55443741;1;16;8,93595008;23,46357379;;;;;;;;1;9,282871094;23,30836668;0,05595353;0,010861891;;;;;
8,725527577;23,55443741;1;17;9,545645658;23,23525533;;;;;;;;1;9,352283367;23,25366872;0,055170952;0,010441521;;;;;
8,725527577;23,55443741;1;18;9,070667519;23,34784461;;;;;;;;1;9,544057945;23,12588047;0,053547288;0,010461401;;;;;
8,725527577;23,55443741;1;19;8,946557454;23,40561876;;;;;;;;1;9,315446994;23,26736959;0,052190729;0,009538294;;;;;
8,725527577;23,55443741;1;20;9,511826364;23,21742311;;;;;;;;1;9,384285075;23,28802714;0,057078486;0,011744016;;;;;
8,725527577;23,55443741;1;21;10,05012254;22,80802341;;;;;;;;1;9,35155506;23,20503383;0,061448306;0,011463201;;;;;
8,725527577;23,55443741;1;22;9,296271663;23,32146521;;;;;;;;1;9,436573844;23,35986925;0,062607335;0,012308669;;;;;
8,725527577;23,55443741;1;23;9,2287808;23,34938053;;;;;;;;1;9,464650914;23,19491187;0,05090631;0,010745566;;;;;
8,725527577;23,55443741;1;24;9,143651004;23,41110769;;;;;;;;1;9,392040068;23,36759592;0,056497748;0,011839739;;;;;
8,725527577;23,55443741;1;25;9,318693246;23,27804966;;;;;;;;1;9,468195804;23,23092093;0,058893547;0,012192296;;;;;
8,725527577;23,55443741;1;26;9,440507248;23,25062414;;;;;;;;1;9,549032779;23,13542845;0,061263626;0,01175165;;;;;
8,725527577;23,55443741;1;27;9,137081381;23,32521935;;;;;;;;1;9,35797803;23,27200776;0,064160215;0,012317545;;;;;
8,725527577;23,55443741;1;28;9,15722396;23,25939105;;;;;;;;1;9,278869254;23,37147415;0,059528858;0,012489844;;;;;
8,725527577;23,55443741;1;29;9,019270883;23,4438796;;;;;;;;1;9,421965801;23,30241054;0,061284369;0,011028634;;;;;
8,725527577;23,55443741;1;30;9,092725906;23,28185811;;;;;;;;1;9,31137993;23,34882149;0,064965721;0,011821606;;;;;
8,725527577;23,55443741;1;31;9,310234814;23,32891987;;;;;;;;1;9,578145794;23,26132212;0,064854715;0,012892143;;;;;
8,725527577;23,55443741;1;32;9,185821561;23,25622983;;;;;;;;1;9,423499659;23,33095495;0,062488348;0,012426571;;;;;
8,725527577;23,55443741;1;33;9,240500504;23,21009707;;;;;;;;1;9,405782097;23,21107385;0,05861953;0,011376841;;;;;
8,725527577;23,55443741;1;34;9,053450045;23,32820009;;;;;;;;1;9,307648295;23,27622488;0,059653478;0,011623501;;;;;
8,725527577;23,55443741;1;35;9,0822847;23,31035744;;;;;;;;1;9,419577281;23,26179418;0,059971675;0,01078068;;;;;
8,725527577;23,55443741;1;36;9,138331305;23,35527932;;;;;;;;1;9,416405833;23,37193451;0,065506;0,013334205;;;;;
8,725527577;23,55443741;1;37;9,575397691;23,16970695;;;;;;;;1;9,444047761;23,25659407;0,059039602;0,011576579;;;;;
8,725527577;23,55443741;1;38;9,153722524;23,39728576;;;;;;;;1;9,388157003;23,28181226;0,064030125;0,012308763;;;;;
8,725527577;23,55443741;1;39;9,553134978;23,21782765;;;;;;;;2;9,881559013;22,98558537;0,132488428;0,024150525;2;9,960692568;22,9588406;0,12358563;0,02499782
8,725527577;23,55443741;2;0;10,14212462;22,87660254;2;9,881559013;22,98558537;0,132488428;0,024150525;;;2;9,873754969;23,02218924;0,107861364;0,021290735;;;;;
8,725527577;23,55443741;2;1;9,443493276;23,21812118;;;;;;;;2;10,00979211;22,87298355;0,123944513;0,027779209;;;;;
8,725527577;23,55443741;2;2;9,620778505;23,07884098;;;;;;;;2;9,827210574;23,00718372;0,11082464;0,022094739;;;;;
8,725527577;23,55443741;2;3;9,750453202;22,90835407;;;;;;;;2;9,912121585;22,9704196;0,138047966;0,026047769;;;;;
8,725527577;23,55443741;2;4;9,723848799;22,96368516;;;;;;;;2;9,891765917;22,97356032;0,109052491;0,022963779;;;;;
8,725527577;23,55443741;2;5;9,343864248;23,22685993;;;;;;;;2;9,978641602;22,92794305;0,124370503;0,02323541;;;;;
8,725527577;23,55443741;2;6;9,766352969;23,1361967;;;;;;;;2;10,02417339;22,94973107;0,128711831;0,025738694;;;;;
8,725527577;23,55443741;2;7;9,6538156;23,11665173;;;;;;;;2;9,975225072;22,94566825;0,133932499;0,026428646;;;;;
8,725527577;23,55443741;2;8;9,599288393;23,18684674;;;;;;;;2;9,948089335;22,94790258;0,126169733;0,02644677;;;;;
8,725527577;23,55443741;2;9;9,898024945;23,03992643;;;;;;;;2;10,01867715;23,02231706;0,130051995;0,026020766;;;;;
